"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"144302","155921","6301.87","15865.00",".00","2500.00","18365.00","24666.87","12972.36",".00",".00","12972.36","11694.51","2500.00","462.14","27546.00","18365.00","45911.00","46373.14","21706.27","12972.36","34678.63","11694.51","","{C13C388B-1D1D-6590-F621-1BF8DDC75B04}"
"144569","156208","147443.02","104386.17",".00",".00","104386.17","251829.19","228847.77",".00",".00","228847.77","22981.42",".00","43545.75","201560.84","104386.17","305947.01","349492.76","97663.57","228847.77","326511.34","22981.42","","{B436C60A-EC42-5239-8476-8B759DB5E015}"
"144916","156604",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D45782BE-C2A5-5E9A-95CC-3DE91ED4BB14}"
"144917","156605",".00",".00",".00","1800.00","1800.00","1800.00","1600.42",".00",".00","1600.42","199.58","1800.00",".00",".00","1800.00","1800.00","1800.00",".00","1600.42","1600.42","199.58","","{51CE1E4D-3764-FE6E-40FD-8C789F60D1C1}"
"144918","156606",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","3203.44",".00","3203.44","3203.44","3203.44",".00","3203.44",".00","","{00298BBC-E723-ABC3-9F59-5F6C229BCB97}"
"144919","156607",".00","5280.00",".00",".00","5280.00","5280.00","2344.10",".00",".00","2344.10","2935.90",".00",".00",".00","5280.00","5280.00","5280.00",".00","2344.10","2344.10","2935.90","","{C4AD9ADE-9E27-2FEC-D2EB-14702BC20E96}"
"144920","156608","2358.99","1251.92",".00",".00","1251.92","3610.91","2133.51",".00",".00","2133.51","1477.40",".00",".00","2444.99","1251.92","3696.91","3696.91","86.00","2133.51","2219.51","1477.40","","{11094D86-F7D9-6354-CC43-6349EFE6D79A}"
"144921","156609","1275.32","4460.00",".00",".00","4460.00","5735.32","4856.81",".00",".00","4856.81","878.51",".00","172.71","1797.00","4460.00","6257.00","6429.71","694.39","4856.81","5551.20","878.51","","{F5BC1821-FC61-F20D-30D5-5B1EFA731822}"
"144924","156613",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{503B6E90-38ED-7522-CBEC-30D9994E6787}"
"144926","156614","9822.00","1250.00",".00",".00","1250.00","11072.00",".00",".00",".00",".00","11072.00",".00","9822.00",".00","1250.00","1250.00","11072.00",".00",".00",".00","11072.00","","{397A5C45-9558-50AF-2270-461FC1382465}"
"144928","156616","7578.80",".00",".00",".00",".00","7578.80",".00",".00",".00",".00","7578.80",".00","7578.80",".00",".00",".00","7578.80",".00",".00",".00","7578.80","","{203310F6-AB11-B64B-78EA-C1110611A886}"
"144931","156619","6480.72",".00",".00",".00",".00","6480.72",".00",".00",".00",".00","6480.72",".00","6480.72",".00",".00",".00","6480.72",".00",".00",".00","6480.72","","{39A17B96-1839-2D3D-CB6E-53BE1E0C5E54}"
"144932","156620",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A8E12EB6-0E9B-86A0-2A72-B22B302EB9AE}"
"144934","156623",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{97ABEF1E-D311-A204-721C-1BD18255DEAA}"
"144935","156622","22924.74","1480.00",".00",".00","1480.00","24404.74","2606.86",".00",".00","2606.86","21797.88","5000.00","6469.62","35686.64","1480.00","37166.64","43636.26","19231.52","2606.86","21838.38","21797.88","","{2A3EF78D-756D-967A-D612-F73351086065}"
"144939","156627","4815.66",".00",".00",".00",".00","4815.66","151.24",".00",".00","151.24","4664.42",".00","3893.66","1000.00",".00","1000.00","4893.66","78.00","151.24","229.24","4664.42","","{88269221-06F5-2CAF-DFE8-C77E69C1719A}"
"144940","156628",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E39848CD-4B37-1E87-E3B9-FBECC2FB472E}"
"144944","156632",".00","300.00",".00",".00","300.00","300.00","150.00",".00",".00","150.00","150.00",".00",".00",".00","300.00","300.00","300.00",".00","150.00","150.00","150.00","","{F4C57CBA-8730-3CB4-7704-CEC81AF9D776}"
"144948","156636","21695.04",".00",".00",".00",".00","21695.04","1902.38",".00",".00","1902.38","19792.66",".00","42892.44","200.00",".00","200.00","43092.44","21397.40","1902.38","23299.78","19792.66","","{5925F024-4936-4AE8-1FCF-49AA4E668FC7}"
"144949","156638","21.44",".00",".00",".00",".00","21.44",".00",".00",".00",".00","21.44",".00","21.44",".00",".00",".00","21.44",".00",".00",".00","21.44","","{A0676320-7CE0-6899-F97E-992AC72BA067}"
"144954","156642",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{25C3D453-E586-B13F-35A4-106B97F7A91D}"
"144957","156645","13253.52",".00",".00",".00",".00","13253.52",".00",".00",".00",".00","13253.52",".00","13253.52",".00",".00",".00","13253.52",".00",".00",".00","13253.52","","{EFE0048F-0E9B-832A-E9E1-2EDD642FE79A}"
"144962","156650",".00","40889.92",".00",".00","40889.92","40889.92","29431.06",".00",".00","29431.06","11458.86",".00",".00",".00","40889.92","40889.92","40889.92",".00","29431.06","29431.06","11458.86","","{C95E81A4-F4B7-4E4F-00AE-68F854AF4ECC}"
"144963","156651","3256.27","1785.30",".00",".00","1785.30","5041.57","1160.41",".00",".00","1160.41","3881.16",".00","3256.27",".00","1785.30","1785.30","5041.57",".00","1160.41","1160.41","3881.16","","{4E497BC4-9E44-7291-D74A-6098712BBEF7}"
"144964","156652","691.00",".00",".00",".00",".00","691.00",".00",".00",".00",".00","691.00",".00","466.00","325.00",".00","325.00","791.00","100.00",".00","100.00","691.00","","{7C0F7645-870F-ABA0-84AF-A6E809FA3D36}"
"144968","156656","611.31",".00",".00",".00",".00","611.31",".00",".00",".00",".00","611.31",".00","611.31",".00",".00",".00","611.31",".00",".00",".00","611.31","","{244446D1-3D43-91A1-6E77-D581DA4D1A57}"
"144970","156658","250.91",".00",".00",".00",".00","250.91",".00",".00",".00",".00","250.91",".00","250.91",".00",".00",".00","250.91",".00",".00",".00","250.91","","{F1C1CD78-973E-1EC5-AC2A-7C225E0E74E1}"
"144973","156661","157.50",".00",".00",".00",".00","157.50",".00",".00",".00",".00","157.50","1643.86","157.50",".00",".00",".00","157.50",".00",".00",".00","157.50","","{BD14C8A4-F712-8923-FF8E-1E4E41616DF5}"
"144974","156662",".00","600.00",".00",".00","600.00","600.00","500.00",".00",".00","500.00","100.00",".00",".00",".00","600.00","600.00","600.00",".00","500.00","500.00","100.00","","{7C27CC4D-E7AA-D9F6-830E-BA0275D7F905}"
"144975","156663",".00","3289.00",".00","10100.00","13389.00","13389.00","1151.52","100.00",".00","1251.52","12137.48","10000.00",".00",".00","13389.00","13389.00","13389.00",".00","1251.52","1251.52","12137.48","","{EDF82D04-2BAE-BDE4-E8DC-DE7EC7854159}"
"144976","156664","50228.02",".00",".00",".00",".00","50228.02",".00",".00",".00",".00","50228.02",".00","50228.02",".00",".00",".00","50228.02",".00",".00",".00","50228.02","","{479C57B3-9435-825F-92D0-85CE8E90621B}"
"144977","156665","47916.31","141838.26",".00",".00","141838.26","189754.57","2500.00",".00",".00","2500.00","187254.57",".00","47916.31",".00","141838.26","141838.26","189754.57",".00","2500.00","2500.00","187254.57","","{35D0EDCB-2898-159D-6191-1B46E94C33C1}"
"144980","156668",".00","1640.00",".00","300.00","1940.00","1940.00","516.87",".00",".00","516.87","1423.13","300.00",".00",".00","1940.00","1940.00","1940.00",".00","516.87","516.87","1423.13","","{08E03887-FA22-D131-C3C9-0B714847E697}"
"144982","156670","3330.95","3350.00",".00",".00","3350.00","6680.95","6000.00",".00",".00","6000.00","680.95",".00","3330.95",".00","3350.00","3350.00","6680.95",".00","6000.00","6000.00","680.95","","{8FCE24B8-ACAA-FC74-29DC-99B4FE9D39A2}"
"144987","156675",".00","30892.30",".00",".00","30892.30","30892.30","2344.99",".00",".00","2344.99","28547.31",".00",".00",".00","30892.30","30892.30","30892.30",".00","2344.99","2344.99","28547.31","","{D550127C-C62D-7B5C-76CE-7CD9EBCD004D}"
"144989","156677",".00","500.00",".00",".00","500.00","500.00","207.65",".00",".00","207.65","292.35",".00",".00",".00","500.00","500.00","500.00",".00","207.65","207.65","292.35","","{E1E72467-F736-05FF-D93B-70454C8ED4C0}"
"144991","156679","318.61",".00",".00",".00",".00","318.61",".00",".00",".00",".00","318.61",".00","318.61",".00",".00",".00","318.61",".00",".00",".00","318.61","","{42726A1C-7E70-E997-73DD-87BC0BA70BEB}"
"144992","156681","299272.56","11850.00",".00",".00","11850.00","311122.56","8599.38",".00",".00","8599.38","302523.18",".00","265951.07","136870.00","11850.00","148720.00","414671.07","103548.51","8599.38","112147.89","302523.18","","{D237C848-F168-CF23-F63C-38EE8DEEB3EB}"
"144998","156686","6711.42","50.00",".00",".00","50.00","6761.42",".00",".00",".00",".00","6761.42",".00","6711.42",".00","50.00","50.00","6761.42",".00",".00",".00","6761.42","","{ED2B6879-758E-E719-7926-B56FB4F374B9}"
"145001","156689","4881.31",".00",".00",".00",".00","4881.31",".00",".00",".00",".00","4881.31",".00","4881.31",".00",".00",".00","4881.31",".00",".00",".00","4881.31","","{B642B45C-52EA-6EF2-637B-CF481A6F03F5}"
"145003","156691","4477.27","3074.00",".00",".00","3074.00","7551.27","2044.01",".00",".00","2044.01","5507.26",".00","4477.27",".00","3074.00","3074.00","7551.27",".00","2044.01","2044.01","5507.26","","{3C3BEEFB-9189-3B00-EAB4-4F257E9A4E1C}"
"145004","156692",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7DA571AC-A92E-074A-8844-A3649F9BBD45}"
"145007","156695",".00","150.58",".00",".00","150.58","150.58","141.77",".00",".00","141.77","8.81","60.00",".00",".00","150.58","150.58","150.58",".00","141.77","141.77","8.81","","{4B693327-40F5-CB29-6987-CE0946A9769A}"
"145008","156696",".00","100.00",".00",".00","100.00","100.00","35.95",".00",".00","35.95","64.05",".00",".00",".00","100.00","100.00","100.00",".00","35.95","35.95","64.05","","{A93620A7-95F2-F91C-9BCF-46A1A05BB652}"
"145009","156697","9515.00","292.65",".00",".00","292.65","9807.65",".00",".00",".00",".00","9807.65",".00","9515.00",".00","292.65","292.65","9807.65",".00",".00",".00","9807.65","","{80779D73-0D0D-53BF-8975-C7253FB72CA1}"
