"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"323397","374004","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{268197CF-66B0-30E7-AE2F-02E2786261A3}"
"355975","410191","1","250.00","0",".00","4","144.00","0",".00","5","394.00",".00",".00",".00","7010.00","7010.00",".00",".00",".00",".00",".00","","{0E00E96F-89B7-203E-F89F-653C35D7DAF0}"
"371925","429964","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{948FB87B-9DBF-08B1-8F3D-0D685B687218}"
"376784","435539","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","450642.51","450642.51",".00",".00",".00",".00",".00","","{D3E7DD8D-02FC-C88A-5804-357A6CD5DE04}"
"382088","441696","0",".00","0",".00","1","1.38","0",".00","1","1.38",".00",".00",".00","1740.58","1740.58",".00","2500.00","2500.00",".00","2500.00","","{DD93C08D-4055-1DB5-81C1-359E3211E98C}"
"383399","443908","1","200.00","0",".00","0",".00","0",".00","1","200.00",".00",".00",".00","7619.58","7619.58",".00",".00",".00",".00",".00","","{B1D1E18A-C91B-A168-5583-8E32AE5F72CF}"
"383484","444023","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C508E82F-3271-39E2-2815-0EC22BB66D21}"
"383485","444024","0",".00","0",".00","1","100.00","0",".00","1","100.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{ADE40DDC-F91A-B089-19DE-5FC0F539B991}"
"383487","444026","1","19.12","3","1500.00","23","968.35","0",".00","27","2487.47",".00","1500.00",".00","2895.76","4395.76",".00",".00",".00",".00",".00","","{63343C4A-92CF-62D7-B1DC-8F5EC0AF9A53}"
"383489","444029","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A26CD1DF-E9E5-B00C-F8BB-618DB17D82FE}"
"383491","444031","6","6500.00","4","101664.10","0",".00","0",".00","10","108164.10",".00","101664.10",".00","12129.93","113794.03","10000.00",".00","10000.00",".00","10000.00","","{2F180A68-3AE9-7329-2380-0862822B6269}"
