"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"352440","398735",".00","3005.00",".00",".00","3005.00","3005.00",".00",".00",".00",".00","3005.00",".00",".00",".00","3005.00","3005.00","3005.00",".00",".00",".00","3005.00","","{05A73465-913A-123E-94FF-349C786C9908}"
"352903","399309","208.00","10228.70",".00",".00","10228.70","10436.70","3601.85",".00",".00","3601.85","6834.85",".00",".00","900.00","10228.70","11128.70","11128.70","692.00","3601.85","4293.85","6834.85","","{0CC98B07-142E-B054-99ED-A16443B9A50F}"
"354046","400547",".00","520.82",".00",".00","520.82","520.82","195.56",".00",".00","195.56","325.26",".00",".00",".00","520.82","520.82","520.82",".00","195.56","195.56","325.26","","{DD610BCC-DEB3-E9AA-CA50-8B38E9352B3B}"
"354408","401063","191.25",".00",".00",".00",".00","191.25","21.96",".00",".00","21.96","169.29",".00","1390.06","2315.00",".00","2315.00","3705.06","3513.81","21.96","3535.77","169.29","","{8410FEFD-3C33-C9C2-9EA0-9FE8193D0EB5}"
"354417","401074","6823.38","1053.00",".00",".00","1053.00","7876.38","3419.37",".00",".00","3419.37","4457.01",".00","7850.35","220.00","1053.00","1273.00","9123.35","1246.97","3419.37","4666.34","4457.01","","{D084DDA1-D851-6CF3-B858-7B6676723F0B}"
"354709","401424","230.00","2667.75",".00",".00","2667.75","2897.75","2687.75",".00",".00","2687.75","210.00",".00","260.00","1500.00","2667.75","4167.75","4427.75","1530.00","2687.75","4217.75","210.00","","{5353292A-E44C-5F33-491A-13365EF7B2B8}"
"354715","401431","3443.06","6176.74",".00",".00","6176.74","9619.80","4319.28",".00",".00","4319.28","5300.52",".00","6356.79","1429.64","6176.74","7606.38","13963.17","4343.37","4319.28","8662.65","5300.52","","{C8B05304-BB3C-275C-E42D-5096CB90CB3F}"
"354723","401439","9226.28","3397.00",".00",".00","3397.00","12623.28","1798.38",".00",".00","1798.38","10824.90","2367.25",".00","736197.09","3397.00","739594.09","739594.09","726970.81","1798.38","728769.19","10824.90","","{8FFA3166-E0A3-05D5-B846-04B4538CE8D7}"
"354735","401453","759588.00","314443.50","56.56",".00","314500.06","1074088.06","552526.97",".00",".00","552526.97","521561.09","44933.24","9487.64","32208741.34","314500.06","32523241.40","32532729.04","31458640.98","552526.97","32011167.95","521561.09","","{76155433-3F22-44A9-A7AA-9616939A5F89}"
"354757","401480","17711.84","105952.65",".00",".00","105952.65","123664.49","39435.39",".00",".00","39435.39","84229.10",".00","44984.32","45765.17","105952.65","151717.82","196702.14","73037.65","39435.39","112473.04","84229.10","","{110AE9AF-23C5-2F88-2776-68CCFA3481E7}"
"354771","401495","65923.32",".00",".00",".00",".00","65923.32","6004.00",".00",".00","6004.00","59919.32",".00","65935.32",".00",".00",".00","65935.32","12.00","6004.00","6016.00","59919.32","","{BCDB7357-2D89-C3E7-09C2-75F459BC5939}"
"354780","401505","73634.68","80000.00",".00",".00","80000.00","153634.68","110100.00",".00",".00","110100.00","43534.68",".00","51634.68","50000.00","80000.00","130000.00","181634.68","28000.00","110100.00","138100.00","43534.68","","{1E4A1498-E0B7-602F-B6A2-5DF736573DEF}"
