"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"204792","221312","8935.19",".00",".00",".00",".00","8935.19","3.53",".00",".00","3.53","8931.66",".00","8935.19",".00",".00",".00","8935.19",".00","3.53","3.53","8931.66","","{510988CC-2059-605C-729D-F84A0FEF6429}"
"205519","222182","12935.19",".00",".00",".00",".00","12935.19","4000.00",".00",".00","4000.00","8935.19",".00",".00","31457.66",".00","31457.66","31457.66","18522.47","4000.00","22522.47","8935.19","","{C7A48FFB-E578-4CC5-5507-BA21CBEC4564}"
"205605","222360","7559.79",".00",".00",".00",".00","7559.79","6125.15","1434.64",".00","7559.79",".00",".00","7559.79",".00",".00",".00","7559.79",".00","7559.79","7559.79",".00","","{9DBDCA7D-A695-F7F8-FDF0-AB5EF705F1AC}"
"205617","222376","53.00","716.00",".00",".00","716.00","769.00","28.31",".00",".00","28.31","740.69",".00",".00","53.00","716.00","769.00","769.00",".00","28.31","28.31","740.69","","{B79CF54F-34B3-4502-F790-D05F65F257E9}"
"205622","222381","797.36","60.00",".00",".00","60.00","857.36","2.40",".00",".00","2.40","854.96",".00","739.76","60.00","60.00","120.00","859.76","2.40","2.40","4.80","854.96","","{DE9F8562-3BBF-17E6-AD41-FC61DCA4FDC2}"
"205629","222389","8414.15","75.00",".00",".00","75.00","8489.15","280.95",".00",".00","280.95","8208.20",".00","8337.35","80.00","75.00","155.00","8492.35","3.20","280.95","284.15","8208.20","","{68454BDB-7500-4A3E-A407-DAD3C9363E70}"
"205631","222391","1768.93","8073.53",".00",".00","8073.53","9842.46","7185.98",".00",".00","7185.98","2656.48","1000.00",".00","10489.51","8073.53","18563.04","18563.04","8720.58","7185.98","15906.56","2656.48","","{A00F28D4-3F6C-465E-C76B-1926F806C2C6}"
"205632","222392","8208.20","891.47",".00",".00","891.47","9099.67","2927.52",".00",".00","2927.52","6172.15",".00","8337.35","155.00","891.47","1046.47","9383.82","284.15","2927.52","3211.67","6172.15","","{E7A5E7B0-AE3C-66B6-BA13-9D91B5B7BBC0}"
"205633","222393","6172.15","1801.00",".00",".00","1801.00","7973.15","106.40",".00",".00","106.40","7866.75",".00","8337.35","1046.47","1801.00","2847.47","11184.82","3211.67","106.40","3318.07","7866.75","","{CC0C9166-A21A-1A6A-5C86-E518ED0742B5}"
"205638","222399","12445.63","805.41",".00",".00","805.41","13251.04","5818.65",".00",".00","5818.65","7432.39","4000.00",".00","30652.25","805.41","31457.66","31457.66","18206.62","5818.65","24025.27","7432.39","","{C83A3483-175A-6F7C-C032-137B160DB62A}"
"205640","222401","7432.39",".00",".00",".00",".00","7432.39","4524.64",".00",".00","4524.64","2907.75",".00",".00","31457.66",".00","31457.66","31457.66","24025.27","4524.64","28549.91","2907.75","","{C7A48FFB-E578-4CC5-5507-BA21CBEC4564}"
"205641","222402","7432.39",".00",".00",".00",".00","7432.39","4524.64",".00",".00","4524.64","2907.75",".00",".00","31457.66",".00","31457.66","31457.66","24025.27","4524.64","28549.91","2907.75","","{C7A48FFB-E578-4CC5-5507-BA21CBEC4564}"
"205642","222403","2907.75",".00",".00",".00",".00","2907.75","3.53",".00",".00","3.53","2904.22",".00","2907.75",".00",".00",".00","2907.75",".00","3.53","3.53","2904.22","","{510988CC-2059-605C-729D-F84A0FEF6429}"
"205645","222411","30706.45","3700.00",".00",".00","3700.00","34406.45","15738.40",".00",".00","15738.40","18668.05",".00","348.45","55549.00","3700.00","59249.00","59597.45","25191.00","15738.40","40929.40","18668.05","","{01491CB5-B09B-74BD-1B54-5FC93EF3E1A0}"
"205646","222413","30706.45","3700.00",".00",".00","3700.00","34406.45","15738.40",".00",".00","15738.40","18668.05",".00","348.45","55549.00","3700.00","59249.00","59597.45","25191.00","15738.40","40929.40","18668.05","","{01491CB5-B09B-74BD-1B54-5FC93EF3E1A0}"
"205648","222424","192.74",".00",".00",".00",".00","192.74",".00",".00",".00",".00","192.74",".00","313.99",".00",".00",".00","313.99","121.25",".00","121.25","192.74","","{F23F838A-D00F-AAB4-BD52-FF2842789C56}"
"205653","222429","1659.91","4.20",".00",".00","4.20","1664.11",".17",".00",".00",".17","1663.94","1000.00","100.00","1747.20","4.20","1751.40","1851.40","187.29",".17","187.46","1663.94","","{692D2823-ED2A-A59C-92ED-CF900F6C3FA0}"
