"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"132916","144046","2127.34",".00",".00",".00",".00","2127.34","134.88",".00",".00","134.88","1992.46",".00",".00","4746.23",".00","4746.23","4746.23","2618.89","134.88","2753.77","1992.46","","{88CA0F45-277A-5B48-F6E3-8E8617E2A348}"
"225279","244767",".00","7272.16",".00","10000.00","17272.16","17272.16","3772.16",".00",".00","3772.16","13500.00","10000.00",".00",".00","17272.16","17272.16","17272.16",".00","3772.16","3772.16","13500.00","","{6BFACE52-8B07-A191-6379-714CCE88624F}"
"230742","250450","6690.39",".00",".00",".00",".00","6690.39",".00",".00",".00",".00","6690.39",".00","6690.39",".00",".00",".00","6690.39",".00",".00",".00","6690.39","","{83A6B612-0373-47CC-05CA-D11C309BC8DE}"
"234079","254281","1025.00","1175.00",".00",".00","1175.00","2200.00",".00",".00",".00",".00","2200.00",".00","1025.00",".00","1175.00","1175.00","2200.00",".00",".00",".00","2200.00","","{D5B6FF75-1182-3C94-A528-DB5D73785E0C}"
"242756","265787","8591.06","8820.00",".00",".00","8820.00","17411.06","8089.76",".00",".00","8089.76","9321.30","1537.41",".00","21359.19","8820.00","30179.19","30179.19","12768.13","8089.76","20857.89","9321.30","","{A4A0A1FB-5DD2-96CF-A6E8-5F0243F9062F}"
"243821","266902",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{58AB413C-246D-EF06-9D63-647225CDF7B6}"
"246805","269927","820.60","699.30",".00",".00","699.30","1519.90","511.79",".00",".00","511.79","1008.11","228.42","3187.93","3200.16","699.30","3899.46","7087.39","5567.49","511.79","6079.28","1008.11","","{31F65871-2EC4-8DE5-2ED1-2B783CEA6328}"
"248513","271642","400.00",".00",".00",".00",".00","400.00","362.23",".00","37.77","400.00",".00",".00","400.00",".00",".00",".00","400.00",".00","400.00","400.00",".00","","{3F7EF6D6-3C35-63E5-52DC-B482645DAD8A}"
"249808","273290","550.00",".00",".00",".00",".00","550.00",".00",".00",".00",".00","550.00",".00",".00","550.00",".00","550.00","550.00",".00",".00",".00","550.00","","{9E4198ED-BC39-350A-F2B4-AE188A91A1E8}"
"249809","273291","10.00",".00",".00",".00",".00","10.00",".00",".00",".00",".00","10.00","10.00","10.00",".00",".00",".00","10.00",".00",".00",".00","10.00","","{0DC34C71-322B-CF47-FF5B-61DEFB4243B9}"
"249810","273292",".00","500.00",".00",".00","500.00","500.00","1.42",".00",".00","1.42","498.58",".00",".00",".00","500.00","500.00","500.00",".00","1.42","1.42","498.58","","{A3BEFCB0-5CF7-A807-9D7B-3C49EC913A9C}"
"249811","273293","872.42",".00",".00",".00",".00","872.42",".00",".00",".00",".00","872.42",".00",".00","13295.91",".00","13295.91","13295.91","12423.49",".00","12423.49","872.42","","{471947F0-9BAE-F518-0A7D-3CC04C01371E}"
"249812","273294","1907.24",".00",".00",".00",".00","1907.24",".00",".00",".00",".00","1907.24","2554.67","1431.96","500.00",".00","500.00","1931.96","24.72",".00","24.72","1907.24","","{DA865C1E-D1B0-E707-A90B-FD56E76FEAC8}"
"249813","273295","301.59",".00",".00",".00",".00","301.59",".00",".00",".00",".00","301.59",".00","301.59",".00",".00",".00","301.59",".00",".00",".00","301.59","","{F3DBBB34-5708-ADF3-CDFD-B5C000CA2468}"
"249816","273298","53.73",".00",".00",".00",".00","53.73",".00",".00",".00",".00","53.73",".00",".00","21924.23",".00","21924.23","21924.23","21870.50",".00","21870.50","53.73","","{07148BD4-383F-AE9C-641C-B0BB21B088A4}"
"249817","273299","905.85",".00",".00",".00",".00","905.85",".00",".00",".00",".00","905.85",".00","655.85","350.00",".00","350.00","1005.85","100.00",".00","100.00","905.85","","{8ED42C3F-97EB-2260-DAD3-9C44524E74F2}"
"249818","273300","54.23",".00",".00",".00",".00","54.23",".00",".00",".00",".00","54.23",".00","54.23",".00",".00",".00","54.23",".00",".00",".00","54.23","","{CB972484-1D92-93D2-E80C-BDAB5F724189}"
"249820","273302","161193.15","9900.00",".00",".00","9900.00","171093.15","5202.57",".00",".00","5202.57","165890.58",".00","35943.68","246219.00","9900.00","256119.00","292062.68","120969.53","5202.57","126172.10","165890.58","","{BD85C79B-AB60-BD42-96E5-4D4A388C5556}"
"249821","273303","1577.35",".00",".00",".00",".00","1577.35",".00",".00",".00",".00","1577.35",".00",".00","6953.89",".00","6953.89","6953.89","5376.54",".00","5376.54","1577.35","","{2D1609A6-1C89-1B53-FE9A-5FC91FFAE485}"
"249824","273306","935.79",".00",".00",".00",".00","935.79","193.70",".00",".00","193.70","742.09",".00",".00","29560.50",".00","29560.50","29560.50","28624.71","193.70","28818.41","742.09","","{F180C096-8192-A8BD-B018-DD99EB26B75E}"
"249827","273309","20652.76",".00",".00",".00",".00","20652.76",".00",".00",".00",".00","20652.76",".00","14971.00","19127.99",".00","19127.99","34098.99","13446.23",".00","13446.23","20652.76","","{7C4AC9E5-B38D-3041-CAB1-ACC6B1A8A4FC}"
"249829","273311","450.00",".00",".00",".00",".00","450.00",".00",".00",".00",".00","450.00",".00","550.00",".00",".00",".00","550.00","100.00",".00","100.00","450.00","","{9F56432D-2DF7-EE9B-911C-C115E1C0CBAD}"
"249832","273314","5199.73","3802.20",".00",".00","3802.20","9001.93","4323.98",".00",".00","4323.98","4677.95",".00","205.97","50499.79","3802.20","54301.99","54507.96","45506.03","4323.98","49830.01","4677.95","","{C1783E2A-6E7C-6479-66A5-DDF57768E641}"
"249834","273316","11806.55",".00",".00",".00",".00","11806.55","110.00",".00",".00","110.00","11696.55",".00","13503.55",".00",".00",".00","13503.55","1697.00","110.00","1807.00","11696.55","","{C4FF5766-EA61-6A3A-40FF-1CB6A088E61F}"
"249835","273317","100.00","475.00",".00",".00","475.00","575.00","475.00",".00",".00","475.00","100.00",".00",".00","6513.03","475.00","6988.03","6988.03","6413.03","475.00","6888.03","100.00","","{B96D5858-D20F-A437-381C-C0AB8E296D14}"
"249837","273319",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","663.42",".00","663.42","663.42","663.42",".00","663.42",".00","","{354E6830-D014-33D2-ADE8-40C44E4D2C0A}"
"249838","273320","50.00",".00",".00",".00",".00","50.00",".00",".00",".00",".00","50.00",".00","50.00",".00",".00",".00","50.00",".00",".00",".00","50.00","","{0C68E396-3473-82CB-5130-7CFE853DEEC4}"
"249840","273322","97.65",".00",".00",".00",".00","97.65",".00",".00",".00",".00","97.65",".00","97.65",".00",".00",".00","97.65",".00",".00",".00","97.65","","{5328C49F-D637-E903-7102-FA0D339EAF2C}"
