"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"240274","261213","8522.37","4460.60",".00",".00","4460.60","12982.97","6609.73",".00",".00","6609.73","6373.24",".00",".00","16929.88","4460.60","21390.48","21390.48","8407.51","6609.73","15017.24","6373.24","","{94194129-5E89-9D3C-9B10-359210715C33}"
"243783","266863","656.93",".00",".00",".00",".00","656.93","425.13",".00",".00","425.13","231.80",".00",".00","5210.00",".00","5210.00","5210.00","4553.07","425.13","4978.20","231.80","","{006B652E-C0DA-2C2E-A0F4-8C20BAEEA34C}"
"243876","266958","1864.79","1750.00",".00",".00","1750.00","3614.79","1477.69",".00",".00","1477.69","2137.10",".00",".00","2807.23","1750.00","4557.23","4557.23","942.44","1477.69","2420.13","2137.10","","{BEDF19B3-F899-48DE-7A6E-04015B0D48DC}"
"244073","267157","56922.89","6762.80",".00","44472.75","51235.55","108158.44","48699.62","44790.98",".00","93490.60","14667.84","17016.39",".00","142660.91","51235.55","193896.46","193896.46","85738.02","93490.60","179228.62","14667.84","","{9F82FA68-0B7E-5355-CA67-FBB00B0E3C9E}"
"244086","267170","12418.41","6773.24",".00",".00","6773.24","19191.65","10233.06",".00",".00","10233.06","8958.59","2550.00",".00","43498.07","6773.24","50271.31","50271.31","31079.66","10233.06","41312.72","8958.59","","{B74C4220-0B3A-9049-A243-953B2FA1FC43}"
"244088","267172","1944.01","120.00","88.42",".00","208.42","2152.43","865.07",".00",".00","865.07","1287.36","1000.00",".00","10100.00","208.42","10308.42","10308.42","8155.99","865.07","9021.06","1287.36","","{AC7F12E8-7359-C48D-DBF5-840BB3C05172}"
"244091","267175","35944.49","22299.33",".00","4000.00","26299.33","62243.82","52968.38",".00",".00","52968.38","9275.44","104250.00",".00","196445.80","26299.33","222745.13","222745.13","160501.31","52968.38","213469.69","9275.44","","{895ED948-5A9D-4DAB-73A6-AC941756E934}"
"244094","267178","11957.94","7096.26",".00","500.00","7596.26","19554.20","19512.10",".00",".00","19512.10","42.10","3500.00",".00","43321.80","7596.26","50918.06","50918.06","31363.86","19512.10","50875.96","42.10","","{B0C73C36-CD23-438C-1751-CE926BF46D87}"
"245124","268210","19281.48","250.00",".00",".00","250.00","19531.48","2015.74",".00",".00","2015.74","17515.74",".00",".00","38116.77","250.00","38366.77","38366.77","18835.29","2015.74","20851.03","17515.74","","{C9BF78DF-CA66-1753-3A7B-680E15AC92AA}"
"245181","268271","161453.97","60695.57",".00",".00","60695.57","222149.54","69287.68",".00",".00","69287.68","152861.86",".00","129177.32","555993.16","60695.57","616688.73","745866.05","523716.51","69287.68","593004.19","152861.86","","{5CE11EA9-D10E-7900-620F-45FCDA152911}"
"245272","268358","24263.90","1698.00",".00",".00","1698.00","25961.90","18760.45",".00",".00","18760.45","7201.45",".00",".00","55727.22","1698.00","57425.22","57425.22","31463.32","18760.45","50223.77","7201.45","","{C21A4665-E8D3-7441-C4F9-612A59173985}"
"245275","268364","569.00","125.00",".00",".00","125.00","694.00","636.51",".00",".00","636.51","57.49",".00",".00","6580.00","125.00","6705.00","6705.00","6011.00","636.51","6647.51","57.49","","{BA3A9652-F8E1-2F0B-0AE1-60FEEAF75803}"
"245350","268437","29504.47","30175.24",".00",".00","30175.24","59679.71","57404.74",".00",".00","57404.74","2274.97","2000.00",".00","239450.75","30175.24","269625.99","269625.99","209946.28","57404.74","267351.02","2274.97","","{CFFBFEFE-062E-712F-FEDE-418945415091}"
"245363","268451","15545.40","5095.21",".00","30000.00","35095.21","50640.61","40946.41",".00",".00","40946.41","9694.20","160000.00",".00","299990.77","35095.21","335085.98","335085.98","284445.37","40946.41","325391.78","9694.20","","{DBF0C73A-F981-0A7A-C44D-5F2EF8EA6D68}"
