"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"123019","137909","3","3825.00","0",".00","4","145.00","1","80.00","8","4050.00",".00",".00","80.00","1024.72","1104.72",".00",".00",".00",".00",".00","","{CFC62E73-FD9B-5F65-3998-DD63D11FB043}"
"250110","281059","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2A4F2F6A-126B-29C9-4A6F-45346A0EBDB3}"
"250112","281061","4","1450.00","0",".00","28","1675.00","0",".00","32","3125.00",".00",".00",".00","178.00","178.00",".00",".00",".00",".00",".00","","{F763DBCE-CE4A-42C5-D4FC-2EF690ED4EF1}"
"250113","281062","2","1446.07","0",".00","169","5559.00","0",".00","171","7005.07",".05",".00",".00","1488.96","1488.96",".00",".00",".00",".00",".00","","{8F57974D-EE20-BF21-238C-3982D040C720}"
"250114","281063","0",".00","0",".00","17","247.00","0",".00","17","247.00",".00",".00",".00","73.80","73.80",".00",".00",".00",".00",".00","","{7CC04724-4AEF-28E6-0885-4934BC01A619}"
"250116","281065","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{93E38EE3-34DF-C09A-4EB8-9E7CD53208A1}"
"250120","281069","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{36FB4101-F1E0-A9DD-C5AA-C9B6192D86B1}"
"250121","281070","1","250.00","0",".00","0",".00","0",".00","1","250.00",".00",".00",".00","500.00","500.00",".00",".00",".00",".00",".00","","{B9ABBF4A-65FE-BA70-0170-45A62DF97AB1}"
"250122","281071","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{063A243B-69F8-4C37-182A-0D5E8436A5A9}"
"250123","281072","1","120.00","0",".00","6","140.00","0",".00","7","260.00",".28",".00",".00","733.51","733.51",".00",".00",".00",".00",".00","","{594A0BBA-B2FD-1DE8-63A9-96A7CC869C02}"
"250125","281075","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C9E819F6-F278-2AE1-0DA4-B2F50601B8BB}"
"250129","281081","0",".00","0",".00","1","60.00","0",".00","1","60.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8C125A16-3694-DD91-1A7A-1C14F1785A6C}"
"250131","281083","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{82C8E666-117D-CC53-3144-4FFD3F620168}"
"250132","281084","5","1854.15","1","47.99","9","465.26","1","7.99","16","2375.39",".00","47.99","7.99","2166.78","2222.76",".00",".00",".00",".00",".00","","{510B3C23-07C1-B437-AA58-83E1DD604B37}"
"250137","281089","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8C55766B-82EF-AA26-216F-0B4A87A4C7D4}"
"250140","281093","26","790.00","0",".00","0",".00","0",".00","26","790.00",".00",".00",".00","3033.46","3033.46",".00",".00",".00",".00",".00","","{F33BE33E-A334-9560-9697-D3CA933F4F88}"
"250146","281098","1","250.00","0",".00","116","4230.00","0",".00","117","4480.00","352.16",".00",".00","6271.81","6271.81",".00",".00",".00",".00",".00","","{94D400DD-C118-D836-FBF6-54B3B9E03B44}"
"250148","281100","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1E810EDC-EDE3-A230-4A2E-262BD63D2DD0}"
"250152","281104","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3CE0708D-4DF8-E2EF-3763-CED226E015A9}"
"250155","281107","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","3079.16",".00","3079.16",".00","3079.16","","{A9CE69AE-8E24-BA6E-1C8A-F5E3B835A965}"
"250156","281108","5","376.00","0",".00","108","4010.24","0",".00","113","4386.24",".00",".00",".00","5136.54","5136.54",".00",".00",".00",".00",".00","","{EFCE696C-6ECC-8B0F-8A58-B1EF89B167CB}"
"250159","281111","0",".00","0",".00","6","5.40","0",".00","6","5.40",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E400A03D-43E0-0D5E-6F7E-5D7F51F47DC5}"
"250160","281112","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C71D8864-4326-1513-0D2E-D4B587B0FAF6}"
"250161","281113","0",".00","0",".00","3","3.00","0",".00","3","3.00",".00",".00",".00",".00",".00","20.00",".00","20.00",".00","20.00","","{3BA67D82-F406-7669-F832-0B3C24D6DF59}"
"250162","281114","2","20.00","0",".00","28","121.90","0",".00","30","141.90",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A5412235-1BF8-37B6-EB28-157BC41EC265}"
"250164","281116","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D6955743-7AD4-C9D1-7056-8AE5AF3E3310}"
"250167","281122","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B0470A83-7AB8-937A-0960-A3C25CB4E8BA}"
"250168","281123","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","20.00",".00","20.00",".00","20.00","","{FDF83559-614D-4B52-4A59-5C2097F862B0}"
"250169","281124","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D24B00FA-4ED5-56AA-3B3A-A07BE5BA213B}"
"250171","281126","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6886D45E-E372-40AD-8A20-E55281968EFA}"
"250173","281128","0",".00","0",".00","15","165.00","0",".00","15","165.00",".00",".00",".00","6.57","6.57",".00",".00",".00",".00",".00","","{DA4D1FFB-18AF-EB3D-5B76-6FF84DCAE213}"
"250174","281131","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E12052D6-DFD3-F57C-9334-E99CE11ED458}"
"250175","281132","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{68FD730F-EB64-6F0F-D4AF-1CD903B18680}"
"250179","281136","0",".00","0",".00","20","607.82","0",".00","20","607.82",".00",".00",".00","99.17","99.17",".00",".00",".00",".00",".00","","{1F44C292-BA44-55E2-0810-61012E5AFBC5}"
"250180","281137","0",".00","0",".00","20","607.82","0",".00","20","607.82",".00",".00",".00","105.10","105.10",".00",".00",".00",".00",".00","","{1F44C292-BA44-55E2-0810-61012E5AFBC5}"
"250183","281140","3","600.00","1","100.34","60","3690.73","0",".00","64","4391.07",".00","100.34",".00","519.21","619.55",".00","500.00","500.00",".00","500.00","","{B538ACEF-FDF4-9189-4BD5-AEEF7D984A22}"
"250184","281141","0",".00","0",".00","0",".00","0",".00","0",".00","1.09",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7A1D3317-1B7E-C50C-34DE-16292CD03572}"
"250186","281143","1","2500.00","0",".00","0",".00","0",".00","1","2500.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{CBF39D4A-B49A-4E17-CAFF-4335A66FBEC9}"
"250187","281144","2","1500.00","0",".00","15","400.00","0",".00","17","1900.00",".00",".00",".00","75.10","75.10",".00",".00",".00",".00",".00","","{AB7A6EE9-3588-4BD7-8EAF-483EB578FB38}"
"250188","281145","0",".00","0",".00","31","726.00","0",".00","31","726.00",".00",".00",".00","759.49","759.49",".00",".00",".00",".00",".00","","{CAC0C600-09F1-1BDF-94C0-A16D0FDACBD7}"
"250191","281148","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{79111F1B-5AC8-247F-4EB6-A538AF5A51C7}"
"250192","281149","0",".00","0",".00","1","100.00","0",".00","1","100.00",".00",".00",".00","1519.79","1519.79",".00",".00",".00",".00",".00","","{D7A58A41-E8F8-3C37-1221-A883F13E6C10}"
"250193","281150","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{87968D57-01F7-6567-37B4-174078BCC222}"
"250194","281151","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{4069EE86-0C93-FF86-EC36-8AF7D717B994}"
"250196","281153","8","2435.00","0",".00","151","5169.00","0",".00","159","7604.00",".00",".00",".00","3386.29","3386.29",".00",".00",".00",".00",".00","","{729DCE8F-F4E3-7D80-71C6-719744445148}"
"250200","281157","2","550.00","0",".00","0",".00","0",".00","2","550.00",".00",".00",".00","60.00","60.00",".00",".00",".00",".00",".00","","{D3036633-3DB6-7D24-3F26-DE1AAF059393}"
"250203","281160","4","3900.00","0",".00","9","154.00","0",".00","13","4054.00",".00",".00",".00","3119.04","3119.04",".00",".00",".00",".00",".00","","{1608A551-2B3F-6667-2855-1DEFE9392002}"
"250204","281161","2","450.00","0",".00","1","50.00","0",".00","3","500.00",".00",".00",".00","40.24","40.24",".00",".00",".00",".00",".00","","{5DBDC85D-92E1-1D00-7172-41D0FFA3333E}"
"250205","281162","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{60A07D3F-499A-E11D-C02A-395DF1299813}"
"250209","281166","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5BF1AB39-2095-69B7-D9BD-28D0889F8062}"
"250210","281167","3","380.00","0",".00","79","2450.00","0",".00","82","2830.00",".00",".00",".00","1200.83","1200.83",".00",".00",".00",".00",".00","","{0626B5AE-4632-209C-A0F9-2040CA179EC7}"
"250212","281169","0",".00","0",".00","0",".00","0",".00","0",".00",".15",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{32AE3657-9180-DEF8-2FC1-05C96C31D1E2}"
"250215","281172","0",".00","0",".00","0",".00","0",".00","0",".00","500.00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{ADE7E2A8-BE69-AE3A-1084-35FCDC9BF150}"
"250221","281178","2","869.25","0",".00","6","281.75","0",".00","8","1151.00",".00",".00",".00","632.90","632.90",".00",".00",".00",".00",".00","","{C9433B23-7033-D3C4-0CC0-2E59C12E986C}"
"250223","281180","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00","500.00","500.00",".00",".00",".00",".00",".00","","{177F6689-A9FC-663C-A024-124E1D558330}"
"250226","281183","3","650.00","1","12829.97","4","175.00","0",".00","8","13654.97",".00","12829.97",".00","20891.87","33721.84",".00",".00",".00",".00",".00","","{E6F1D6B5-7575-AA55-1453-4DBF6F12F54F}"
"250227","281184","0",".00","0",".00","0",".00","0",".00","0",".00","200.00",".00",".00","12239.80","12239.80",".00",".00",".00",".00",".00","","{AE3A6DF5-0B8E-9B92-9A20-43A7A885927C}"
"250229","281186","12","2940.00","0",".00","85","3429.00","0",".00","97","6369.00",".00",".00",".00","7278.29","7278.29",".00",".00",".00",".00",".00","","{1694638C-8FA6-3C40-F3F2-5E4A40728FA3}"
"250231","281188","0",".00","0",".00","1","5.00","0",".00","1","5.00",".00",".00",".00","139.90","139.90","100.00",".00","100.00",".00","100.00","","{D777DACE-E165-3062-7A8E-2D47E2E7ECB9}"
"250234","281191","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{36EC78F5-D332-2235-D04B-2F6EE32217BF}"
"250237","281194","5","485.00","0",".00","55","1879.11","0",".00","60","2364.11",".00",".00",".00","2066.81","2066.81",".00",".00",".00",".00",".00","","{B871B424-C020-75B5-89FC-2251CE76C70C}"
"250239","281196","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{02D33AEA-6B0D-06E3-5038-659EE75D8A00}"
"250240","281200","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F3226783-2F47-A494-06E6-CD69D31B0CBA}"
"250246","281207","13","3462.04","0",".00","12","406.24","0",".00","25","3868.28",".00",".00",".00","6852.13","6852.13",".00",".00",".00",".00",".00","","{92EC5BF9-85CF-2D7F-D112-8D25555B8C0E}"
"250249","281211","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E0B647CD-B5FD-8406-A725-298D48945A80}"
"250250","281211","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E0B647CD-B5FD-8406-A725-298D48945A80}"
"250251","281210","8","2125.00","0",".00","26","1131.24","0",".00","34","3256.24","100.00",".00",".00","394.15","394.15",".00",".00",".00",".00",".00","","{8A37F5A3-64FB-889C-6AC8-FC544CB097DF}"
"250256","281216","53","66492.00","4","16000.00","41","2966.35","0",".00","98","85458.35",".00","16000.00",".00","2664.54","18664.54",".00","15000.00","15000.00",".00","15000.00","","{AA99E846-9BD5-6A47-F6E6-3DCEDE20A82A}"
"250258","281218","10","750.50","0",".00","29","1244.00","0",".00","39","1994.50",".00",".00",".00","1219.21","1219.21",".00",".00",".00",".00",".00","","{84392BEC-C689-73ED-EDB4-CA1F047EB325}"
"250260","281220","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","8200.00",".00","8200.00",".00","8200.00","","{A7970673-32C7-84AF-3425-D2A1174FA633}"
"250261","281221","0",".00","0",".00","0",".00","0",".00","0",".00","2.74",".00",".00","750.00","750.00",".00",".00",".00",".00",".00","","{5B21B1E6-3E65-D5AA-DEAE-7EFA7EBADB88}"
"250262","281222","37","10166.37","0",".00","15","513.18","0",".00","52","10679.55",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{06EFC8CE-10C4-2834-64BD-EFD679674CC1}"
"250267","281227","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1508AFAC-A357-AF39-DC60-AA56E3402A2C}"
"250271","281231","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{78D81DED-1F10-8B9D-D93E-46C936AA5BD4}"
"250272","281232","17","7408.50","0",".00","32","3200.00","0",".00","49","10608.50",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A49A2CAD-5B4E-BBFA-6A9D-BF095A07BF75}"
"250281","281241","23183","1018787.98","0",".00","0",".00","0",".00","23183","1018787.98",".00",".00",".00","1020712.72","1020712.72",".00",".00",".00",".00",".00","","{9E5240AC-C09C-28CD-2D45-1C27C502C956}"
"250282","281242","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00","100.00","100.00","92.76","7.24","","{CD378174-EEE2-59F7-32D3-1DFB6455CFA5}"
"250284","281244","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","500.00","500.00",".00",".00",".00",".00",".00","","{177F6689-A9FC-663C-A024-124E1D558330}"
"250285","281245","1","200.00","0",".00","0",".00","0",".00","1","200.00",".00",".00",".00","62.00","62.00","7.24",".00","7.24",".00","7.24","","{5D4BBDE1-C8E7-A305-D2CE-C4B4614E794C}"
"250286","281246","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","298.96","298.96","7.24","298.96","306.20",".00","306.20","","{1DFDF79B-5FD8-57BF-028A-87BB8BF691BD}"
"250288","281248","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","244.80","244.80","2136.00","244.80","2380.80","416.26","1964.54","","{80473777-9F9A-8EA6-6EC0-95D1B08862E8}"
"250289","281249","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8395B2C3-6879-6640-6DE8-6B000D11CFEF}"
"250293","281253","0",".00","0",".00","27","100.83","0",".00","27","100.83",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D02AA708-E1C7-2AB2-DB1E-B0FEEBBEEE30}"
"250298","281258","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{78C126C7-C59E-FD55-4D14-2597F74CC719}"
"250301","281261","1","18915.55","0",".00","0",".00","0",".00","1","18915.55",".00",".00",".00","2125.17","2125.17",".00",".00",".00",".00",".00","","{5869DEFC-67C7-3C39-2080-7E4780EDC5F0}"
"250303","281263","0",".00","0",".00","51","175.30","0",".00","51","175.30",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C0A6708F-E7CF-64FC-DD2C-B4606EE43AA2}"
"250310","281270","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0E2ADE7F-5204-2784-6665-783AFF7E1BF3}"
"250311","281271","468","138648.94","0",".00","333","22503.49","0",".00","801","161152.43",".00",".00",".00","39323.06","39323.06",".00",".00",".00",".00",".00","","{E6552FBE-83E5-8311-7340-C6ECDF376265}"
"250312","281272","0",".00","0",".00","16","960.00","0",".00","16","960.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3273D309-4A3D-81B0-EBB1-4FF10915292E}"
"250317","281277","7","14407.50","0",".00","0",".00","0",".00","7","14407.50",".00",".00",".00","1750.00","1750.00","547.50",".00","547.50","547.50",".00","","{DDF59D41-457C-4F0A-C934-807E2E734898}"
"250318","281278","0",".00","0",".00","9","34.50","0",".00","9","34.50",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{40CC6F98-FADB-BEED-61B0-20DCE0B244A3}"
"250323","281283","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{58F8CF07-A891-BB99-B5E2-A8B202E1558C}"
"250324","281284","1","30000.00","0",".00","0",".00","0",".00","1","30000.00",".00",".00",".00","8836.00","8836.00",".00",".00",".00",".00",".00","","{84D127DA-276A-B727-D8D8-237CFB70E34D}"
"250325","281285","0",".00","0",".00","7","60.00","0",".00","7","60.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2F742386-7C55-F99D-8214-B8B9FED05163}"
"250329","281289","1","300.00","0",".00","0",".00","0",".00","1","300.00",".00",".00",".00","117.54","117.54",".00","2000.00","2000.00",".00","2000.00","","{22F04D3D-EEE6-BDFB-ABBC-3384D0D49FFD}"
"250335","281295","0",".00","0",".00","9110","34770.74","0",".00","9110","34770.74",".00",".00",".00","5000.00","5000.00",".00",".00",".00",".00",".00","","{21C8C855-73D3-605B-3749-54A7010473F5}"
"250336","281296","10","2350.00","0",".00","11","850.00","0",".00","21","3200.00",".00",".00",".00","92.41","92.41",".00",".00",".00",".00",".00","","{5BA27096-5D01-E088-BE49-E6BE92A381EC}"
"250337","281297","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{31333411-5F90-B9F1-52EE-28E97AB9C4EF}"
"250338","281298","1","10000.00","0",".00","0",".00","0",".00","1","10000.00",".00",".00",".00","6750.00","6750.00",".00",".00",".00",".00",".00","","{AC6517F4-0591-33BE-CA33-7C5DCB8F75FF}"
"250346","281306","27","5762.35","0",".00","10","76.26","0",".00","37","5838.61",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{693B4555-32BF-861F-1CDC-B6ECCE6FE18F}"
"250349","281309","7","835.00","0",".00","81","1210.00","0",".00","88","2045.00",".00",".00",".00","566.00","566.00",".00",".00",".00",".00",".00","","{4B1CDDA9-EAED-B8DD-2331-E89EECE28A4B}"
"250350","281310","4","2046.26","0",".00","0",".00","0",".00","4","2046.26",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5D763EEC-F5D4-20CD-3D53-08A7F1B72A86}"
"250351","281311","0",".00","0",".00","1","5.00","0",".00","1","5.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1380D493-0E46-B378-1DEC-0F6DC18B73A7}"
"250354","281317","68","33727.00","0",".00","291","23552.00","0",".00","359","57279.00","4.71",".00",".00","39587.35","39587.35",".00",".00",".00",".00",".00","","{20BEB83A-DC8C-6B12-7648-6904C2BC5508}"
"250355","281316","10","6950.00","3","844.91","6","500.00","0",".00","19","8294.91",".00","844.91",".00","5385.99","6230.90",".00",".00",".00",".00",".00","","{9861073C-D6DD-559A-F5D7-EA5590B69821}"
"250362","281324","2","270.00","0",".00","29","722.88","0",".00","31","992.88",".00",".00",".00","250.00","250.00",".00",".00",".00",".00",".00","","{0E5A22B0-E490-0513-BB12-1CC141FB7F98}"
"250363","281325","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E916A3E3-DD36-ECF2-19DF-13519EDDB56E}"
"250365","281327","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","9566.75",".00","9566.75",".00","9566.75","","{6F82A820-4FB0-15C0-E3D6-D1E69D7271BD}"
"250368","281330","9","18630.25","0",".00","0",".00","1","23.96","10","18654.21",".00",".00","23.96","4116.94","4140.90",".00",".00",".00",".00",".00","","{BEF6AB90-2806-37E7-81C7-C020411619B8}"
"250371","281334","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","73.20","73.20",".00",".00",".00",".00",".00","","{D5228DC1-A464-C392-7589-54515EA02A2D}"
"250374","281337","31","6450.68","0",".00","8","66.55","0",".00","39","6517.23",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7858947F-88E2-9054-0521-307E9C613437}"
"250381","281344","4","400.00","0",".00","7","280.00","0",".00","11","680.00",".00",".00",".00","5302.88","5302.88",".00",".00",".00",".00",".00","","{D370DEFD-4B0E-5248-DE5D-3832B4DB3579}"
"250384","281347","35","6037.15","0",".00","3","26.00","0",".00","38","6063.15",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{EFF4317A-9BFC-7CDD-A850-E13BEE686965}"
"250386","281349","1","250.00","0",".00","0",".00","0",".00","1","250.00",".00",".00",".00","259.88","259.88",".00",".00",".00",".00",".00","","{753E3020-582A-EB4A-2780-83BC2D626787}"
"250387","281350","0",".00","1","18.00","0",".00","0",".00","1","18.00",".00","18.00",".00","14.00","32.00",".00",".00",".00",".00",".00","","{E6EAB731-444D-C6BF-84C0-B628576D4E82}"
"250389","281352","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C07C47F9-EC68-48BB-C529-2E26B6D99805}"
"250391","281354","2","110.00","0",".00","22","585.00","0",".00","24","695.00",".00",".00",".00","678.75","678.75",".00",".00",".00",".00",".00","","{78E8263A-19E0-3AE8-FD60-6DA2A7B851BE}"
