"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"182316","203881","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A22E3CB3-13C7-5AF9-573D-75BE29457FD7}"
"186499","208198","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3412.39","3412.39","3998.62",".00","3998.62","3998.62",".00","","{DFD0F22A-ADD9-DA1D-516A-720F36BE8B06}"
"186504","208203","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D64042A9-5DD1-046B-2B09-AAC3106EC2F9}"
"186506","208205","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{700201EB-73A1-1B06-34DE-B2EBC4435863}"
"186507","208206","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{90F46CEC-F47C-4EC8-BFF3-D23B91F1E1CF}"
"186508","208207","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3671BB7A-10E0-B759-0B40-E21B3D910483}"
"186510","208209","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F4CAC520-1E1C-52F0-DE23-17C3DB2621A1}"
"186512","208211","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1142.91","1142.91",".00",".00",".00",".00",".00","","{BEE51786-F52F-8EBB-9735-4A1771C458C4}"
"186517","208216","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","757.00","757.00",".00",".00",".00",".00",".00","","{BEE51786-F52F-8EBB-9735-4A1771C458C4}"
"186520","208219","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1614.00","1614.00",".00",".00",".00",".00",".00","","{24520AF9-E4CB-CBD9-32C2-23C0143881EB}"
"186526","208226","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{433800B7-53EE-3FFC-0D0B-098CBEBB1CF6}"
"186528","208228","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DDE9123D-C4F7-F4A4-0A6A-0CB9FD80D287}"
"186529","208229","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{433800B7-53EE-3FFC-0D0B-098CBEBB1CF6}"
"186531","208231","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{44BE15BC-D599-2F05-1FCB-EAF207E61892}"
"186533","208233","3","1162.94","0",".00","0",".00","0",".00","3","1162.94",".00",".00",".00","871.86","871.86",".00",".00",".00",".00",".00","","{D7FDA81B-51E4-8A01-100F-C2D893214753}"
"186539","208239","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1745.98","1745.98",".00",".00",".00",".00",".00","","{50FCA1FF-F094-8D99-52DF-BE3F4166BAFC}"
"186562","208268","6","1655.00","0",".00","14","745.00","0",".00","20","2400.00",".00",".00",".00","296.07","296.07",".00",".00",".00",".00",".00","","{B7CC164E-9C9E-33CB-6AB3-DCD8E9F14E43}"
"186572","208278","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4531.31","4531.31",".00",".00",".00",".00",".00","","{C85A0B88-4F70-744C-B6DB-6C0601723DBE}"
"186573","208279","0",".00","0",".00","0",".00","0",".00","0",".00","2984.48",".00",".00","2984.48","2984.48",".00",".00",".00",".00",".00","","{5F1EEAC3-91A8-C2BB-68C7-F981AAF6D393}"
"186574","208280","133","435573.51","2","95802.03","303","13621.60","0",".00","438","544997.14","22.61","95802.03",".00","336326.45","432128.48",".00",".00",".00",".00",".00","","{9EA525DE-3A3B-A340-87B1-7E765D496FF8}"
"186578","208284","0",".00","0",".00","104","5200.00","0",".00","104","5200.00",".00",".00",".00","2700.00","2700.00",".00",".00",".00",".00",".00","","{C0560C6D-638E-6B61-50AB-9807CB909B2B}"
"186582","208288","5","1555.00","0",".00","14","745.00","0",".00","19","2300.00",".00",".00",".00","196.07","196.07",".00",".00",".00",".00",".00","","{B7CC164E-9C9E-33CB-6AB3-DCD8E9F14E43}"
"186585","208291","1","100.00","1","60.00","7","475.00","1","75.00","10","710.00",".00","60.00","75.00","712.27","847.27",".00",".00",".00",".00",".00","","{97F92F2F-CE95-D9DB-810C-0A09C855ED2D}"
"186588","208295","0",".00","0",".00","6","384.00","0",".00","6","384.00",".00",".00",".00","959.64","959.64",".00",".00",".00",".00",".00","","{E787DE82-8CA2-7476-7341-C4EF637B4EC1}"
"186598","208306","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{849D9EAB-4E75-655C-323C-ABE76965C552}"
"186622","208330","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9F466B02-7A6C-2BDE-F828-CC79097179BF}"
"186623","208331","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A13E408A-2E2D-4849-725A-4C7A50559F09}"
"186634","208342","17","8130.00","0",".00","84","5850.00","0",".00","101","13980.00",".00",".00",".00","10684.68","10684.68",".00",".00",".00",".00",".00","","{15D32B7A-3093-AE71-8569-76D80252A972}"
"186640","208348","8","2425.00","1","471.58","14","861.99","1","77.86","24","3836.43",".00","471.58","77.86","3142.04","3691.48",".00",".00",".00",".00",".00","","{DD9D2D8F-FCA7-A2FE-6060-BAC391670121}"
"186641","208349","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7F7FBA3B-8868-96B7-7DEE-FC6C824A7ECC}"
"186642","208350","10","1050.00","1","975.00","9","380.00","0",".00","20","2405.00",".00","975.00",".00","2031.60","3006.60","300.00",".00","300.00","50.00","250.00","","{8DAFBDB3-B761-2639-867E-D59042CB3980}"
"186645","208353","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{37920E79-E51F-219C-D2A9-6A90FBAB34D6}"
"186648","208356","3","900.00","0",".00","2","188.26","0",".00","5","1088.26",".00",".00",".00",".00",".00","2550.00",".00","2550.00",".00","2550.00","","{D4B0FD33-216A-B9CE-9423-A99550AD7C41}"
"186649","208357","1","20.00","0",".00","0",".00","0",".00","1","20.00",".00",".00",".00","70.54","70.54",".00",".00",".00",".00",".00","","{A9C7C580-6F38-EB43-E5B9-4EF683D3CC20}"
"186651","208359","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7E26F19E-C690-3256-4115-2FD59EC363C6}"
"186656","208364","17","17349.00","0",".00","2","150.00","0",".00","19","17499.00",".00",".00",".00","31855.08","31855.08",".00",".00",".00",".00",".00","","{2BEB6024-7FEA-654F-5870-C55B78AFD457}"
"186657","208365","1","550.00","0",".00","2","200.00","0",".00","3","750.00",".00",".00",".00","733.63","733.63",".00",".00",".00",".00",".00","","{41EE0C9F-F2C2-63E2-6D8A-0240732172D5}"
"186659","208367","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{685D8132-6AB5-9049-6F1F-356E20157BE9}"
"186660","208368","1","100.00","5","870.28","3","250.00","2","60.29","11","1280.57",".00","870.28","60.29","2064.34","2994.91","3000.00",".00","3000.00",".00","3000.00","","{41CEBFDD-902F-70BA-A5A1-7212AE91EF5F}"
"186663","208371","8","2250.00","0",".00","22","1974.00","0",".00","30","4224.00",".00",".00",".00","1600.00","1600.00","1530.27",".00","1530.27","1530.27",".00","","{497F8342-6BB3-F24B-F9E4-E689C5843713}"
"186666","208374","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{B4C7BB8A-D967-4C2C-2838-DC305E785733}"
"186668","208376","11","2350.00","1","437.75","4","178.99","0",".00","16","2966.74",".00","437.75",".00","10727.22","11164.97",".00",".00",".00",".00",".00","","{BE144ADE-427F-D795-F7F7-0CFA209FAC30}"
"186670","208378","4","315.00","0",".00","0",".00","0",".00","4","315.00",".00",".00",".00","472.66","472.66",".00",".00",".00",".00",".00","","{F2A05994-C855-5562-FC82-75E32EE19537}"
"186675","208383","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{91E9BE0E-CDFE-141C-30D5-4C8763A5A47C}"
"186676","208384","1","350.00","0",".00","1","25.00","0",".00","2","375.00",".00",".00",".00","10170.62","10170.62","7579.16",".00","7579.16",".00","7579.16","","{2D7E8B9B-3E8C-46C7-40AE-0D8FB2346AF2}"
"186678","208386","4","750.00","0",".00","1","25.00","0",".00","5","775.00",".00",".00",".00","3120.43","3120.43",".00",".00",".00",".00",".00","","{53A3EBBF-CE9D-6581-8A96-52C3B659C3C3}"
"186681","208389","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D53FF35F-1273-39B1-F189-5B838DE13CD3}"
"186682","208390","2","500.00","0",".00","23","1399.00","0",".00","25","1899.00",".00",".00",".00","1423.86","1423.86",".00",".00",".00",".00",".00","","{C6FEB942-B7F5-665E-EAEC-94D0CD76713D}"
"186683","208391","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A2A464AC-E8BE-846A-6689-0F224EEC8A77}"
"186684","208392","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9E3D685D-755A-C108-C2CD-DDFFB6214E5C}"
"186685","208393","1","250.00","0",".00","6","360.00","0",".00","7","610.00",".00",".00",".00","2827.12","2827.12","13050.00",".00","13050.00",".00","13050.00","","{D1DBA294-E5D2-1CF8-289E-051C2EC99586}"
"186688","208396","8","3400.00","2","3000.00","4","300.00","0",".00","14","6700.00",".00","3000.00",".00","2098.50","5098.50",".00",".00",".00",".00",".00","","{8C809752-E912-4A7A-EA7C-BBF520A886FB}"
"186690","208398","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C6BF6F45-9BFD-95B4-BE62-5B3FBC9C24F8}"
"186691","208399","7","2850.00","0",".00","3","220.00","0",".00","10","3070.00",".00",".00",".00","2211.69","2211.69",".00",".00",".00",".00",".00","","{2C5D354B-440E-ADFA-A641-A292C7E96372}"
"186696","208404","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{C17818B3-F21B-BFC3-75C6-42DC6B046397}"
"186699","208407","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","1000.00",".00","1000.00",".00","1000.00","","{7955FA63-F7EC-D1E6-2A53-EF3E01ADE214}"
"186701","208409","1","100.00","1","5.57","0",".00","0",".00","2","105.57",".00","5.57",".00","2285.15","2290.72","100.00",".00","100.00",".00","100.00","","{B93A6942-AFBC-AD7C-1EDD-DE220FACD1B4}"
"186702","208411","3","799.00","0",".00","4","347.00","0",".00","7","1146.00",".00",".00",".00","951.11","951.11",".00",".00",".00",".00",".00","","{F3618388-7B41-D776-0217-CEF72F68BD8C}"
"186703","208412","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","15.00","15.00",".00",".00",".00",".00",".00","","{09DFE5B3-86B3-3CA4-1DCC-2CEA2B94E9BA}"
"186704","208413","1","500.00","1","20.90","3","300.00","0",".00","5","820.90",".00","20.90",".00","1485.39","1506.29","2500.00",".00","2500.00",".00","2500.00","","{8563CB7C-E6A1-0E2D-B2FC-0150900FBE5A}"
"186709","208418","2","300.00","0",".00","6","600.00","0",".00","8","900.00",".11",".00",".00","2496.82","2496.82",".00","500.00","500.00",".00","500.00","","{CBB0563F-E1AE-7883-1E09-A203FD250198}"
"186710","208419","0",".00","0",".00","11","520.00","0",".00","11","520.00",".00",".00",".00","1118.05","1118.05","1000.00",".00","1000.00",".00","1000.00","","{C0135730-AFC1-DB93-7092-77C67E6DA768}"
"186712","208422","12","4100.00","1","1800.00","48","2675.00","0",".00","61","8575.00",".00","1800.00",".00","289.00","2089.00",".00",".00",".00",".00",".00","","{C178031D-2457-2FAC-0A37-9BB81032CAC2}"
"186713","208423","0",".00","0",".00","1","100.00","0",".00","1","100.00",".00",".00",".00","5150.00","5150.00","11188.00",".00","11188.00",".00","11188.00","","{0DC311BA-62B5-829A-672E-E7C25A70A1C9}"
"186715","208425","0",".00","1","300.00","1","100.00","0",".00","2","400.00",".00","300.00",".00","720.34","1020.34",".00",".00",".00",".00",".00","","{EDBB7999-18E1-9B6F-CE42-146891AB6D37}"
"186716","208426","14","2861.00","5","835.20","14","910.00","3","99.06","36","4705.26",".00","835.20","99.06","2727.72","3661.98",".00",".00",".00",".00",".00","","{4401E3B1-4C76-7A19-48DF-1C134E47C021}"
"186718","208428","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","36.30","36.30",".00",".00",".00",".00",".00","","{092E2666-B91E-BC64-95D7-8DC2B0A02EB7}"
"186719","208429","12","4226.00","0",".00","40","3405.00","0",".00","52","7631.00",".00",".00",".00","5320.36","5320.36","5000.00",".00","5000.00",".00","5000.00","","{D3EADEF9-1EBC-C29A-2DD4-D6B2C72DC714}"
"186720","208430","1","200.00","0",".00","6","525.00","0",".00","7","725.00",".00",".00",".00","543.05","543.05",".00",".00",".00",".00",".00","","{377AD08E-858D-6AEE-C346-71DAD7F82DAF}"
"186721","208431","1","200.00","0",".00","4","325.00","0",".00","5","525.00",".00",".00",".00","3189.28","3189.28","5000.00",".00","5000.00",".00","5000.00","","{1E541DF6-E961-8011-D541-A1022124A7A8}"
"186722","208432","0",".00","0",".00","1","50.00","0",".00","1","50.00",".00",".00",".00","41.89","41.89","5000.00",".00","5000.00",".00","5000.00","","{930F5F22-B803-CFE1-85B9-4A2D136F154D}"
"186727","208437","1","500.00","0",".00","6","425.00","0",".00","7","925.00",".00",".00",".00","7523.86","7523.86",".00",".00",".00",".00",".00","","{B9A6FF2D-CBBE-A801-F38F-6965A0C27DF8}"
"186728","208438","7","1562.34","0",".00","0",".00","0",".00","7","1562.34",".00",".00",".00","1562.34","1562.34",".00",".00",".00",".00",".00","","{C8FF2FEE-5FED-9255-D9D0-ED9816014817}"
"186730","208440","1","125.00","0",".00","29","1635.00","0",".00","30","1760.00",".00",".00",".00","5337.71","5337.71","3010.00","1000.00","4010.00",".00","4010.00","","{D2FA2031-7A19-2FD8-6365-A4B46964E80E}"
"186732","208442","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","18066.29",".00","18066.29",".00","18066.29","","{FBBF2510-40BC-40CE-68FE-3D22D27F7CB8}"
"186734","208444","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","925.00",".00","925.00",".00","925.00","","{3DAADA7C-26F7-B2F6-5124-BFDA2B30250F}"
"186736","208446","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","6692.92","6692.92",".00",".00",".00",".00",".00","","{1A195A77-3A31-8B3E-0ACD-1D73758209DC}"
"186737","208447","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","24200.00","24200.00",".00",".00",".00",".00",".00","","{2E605950-8663-2CCE-3873-3A4DF27594D0}"
"186738","208448","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3050.83","3050.83",".00",".00",".00",".00",".00","","{517A1DEB-C065-03EE-B03D-AEEE761EC720}"
"186739","208449","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","953.00","953.00",".00",".00",".00",".00",".00","","{D9B57BA6-A770-F79C-2D7D-1B60F1EE027D}"
"186740","208450","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9524F70E-FD36-422D-478A-2C60916762BD}"
"186741","208451","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","500.00","500.00",".00",".00",".00",".00",".00","","{F4250BC9-92C1-1CE2-2142-CFFDCC4E3CBF}"
"186742","208452","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","500.00","500.00",".00",".00",".00",".00",".00","","{61666721-39D3-7E33-90E4-BB17D791B1CF}"
"186743","208453","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","6323.29","6323.29",".00",".00",".00",".00",".00","","{1BB800A4-852A-AFEB-9BD1-19DF24C44596}"
"186744","208454","1","200.00","0",".00","0",".00","0",".00","1","200.00",".00",".00",".00","1130.00","1130.00",".00",".00",".00",".00",".00","","{A967193D-C64A-09CC-02A1-CD3B4A99C2DF}"
"186745","208455","2","556.16","0",".00","4","310.00","0",".00","6","866.16",".00",".00",".00","888.26","888.26",".00",".00",".00",".00",".00","","{DA3D5541-2FE4-1AB5-7601-295C80918E0C}"
"186749","208459","0",".00","0",".00","4","275.00","0",".00","4","275.00",".00",".00",".00","4651.55","4651.55",".00","4000.00","4000.00",".00","4000.00","","{EC4F5991-6384-0088-891F-6463759B6A63}"
"186751","208461","17","12299.00","0",".00","11","905.00","0",".00","28","13204.00",".00",".00",".00","13315.93","13315.93","24000.00",".00","24000.00",".00","24000.00","","{E011DF68-F182-FCC8-6686-387E924631B2}"
"186756","208466","0",".00","0",".00","4","300.00","0",".00","4","300.00",".00",".00",".00","241.06","241.06",".00",".00",".00",".00",".00","","{DFC427E4-B5B7-96C1-ED91-BEA641EB7F26}"
"186758","208468","9","4400.00","2","433.38","7","650.00","0",".00","18","5483.38",".00","433.38",".00","11860.17","12293.55",".00","4000.00","4000.00",".00","4000.00","","{24F151AC-D3AF-F6E1-BCE1-981177C81AB4}"
"186759","208469","4","2550.00","0",".00","4","310.00","0",".00","8","2860.00",".00",".00",".00","2329.61","2329.61",".00",".00",".00",".00",".00","","{E68EA6AE-DB70-04D5-D610-5268780A34AC}"
"186761","208471","4","2600.00","0",".00","5","175.00","0",".00","9","2775.00",".00",".00",".00","2765.16","2765.16",".00",".00",".00",".00",".00","","{A334FFC7-3C8E-BCFB-C892-FFCC6328C00C}"
"186763","208473","23","6491.00","1","1250.00","30","2473.00","0",".00","54","10214.00",".00","1250.00",".00","2042.65","3292.65",".00",".00",".00",".00",".00","","{D5AB66F9-200A-8D25-59B1-87574CE7F7BE}"
"186765","208475","10","2800.90","0",".00","17","1025.00","0",".00","27","3825.90",".00",".00",".00","8815.47","8815.47","2589.81",".00","2589.81",".00","2589.81","","{8AF9953A-6AF8-E22B-231C-E6B75FFC1D00}"
"186771","208481","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","932.45","932.45",".00",".00",".00",".00",".00","","{B2B066BB-9F84-1CF2-E57F-C7997F02D6EE}"
"186774","208484","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","912.57",".00","912.57",".00","912.57","","{7E6914CC-B7ED-E2EC-1739-2BED6EF874D4}"
"186777","208487","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{786FF524-BB30-5F99-22AE-4DF174555159}"
"186782","208492","0",".00","1","438.98","0",".00","0",".00","1","438.98",".00","438.98",".00","50.00","488.98",".00",".00",".00",".00",".00","","{71C597CB-6E96-63D5-628E-A8DE669FC2AA}"
"186783","208494","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5FA4DB5D-1D8D-B3FC-7AE2-C92A1F3E214E}"
"186787","208497","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{786FF524-BB30-5F99-22AE-4DF174555159}"
"186790","208500","5","3200.00","0",".00","0",".00","0",".00","5","3200.00",".00",".00",".00","2903.73","2903.73","6000.00",".00","6000.00",".00","6000.00","","{8784EB7B-5E36-0FC7-6827-20F898930AB0}"
"186791","208501","0",".00","0",".00","2","150.00","0",".00","2","150.00",".00",".00",".00","229.48","229.48",".00",".00",".00",".00",".00","","{90C73DE9-C22B-2220-A7F8-5AB2BD97A81E}"
"186795","208505","4","1750.00","0",".00","4","280.00","0",".00","8","2030.00",".00",".00",".00","3660.70","3660.70",".00",".00",".00",".00",".00","","{AE8C3C78-A39C-EC16-8AC9-0D52D5F5A6DC}"
"186796","208506","17","5500.00","1","1800.00","52","2870.00","0",".00","70","10170.00",".00","1800.00",".00","289.00","2089.00",".00",".00",".00",".00",".00","","{C178031D-2457-2FAC-0A37-9BB81032CAC2}"
"186797","208507","4","1700.00","0",".00","12","625.00","0",".00","16","2325.00",".00",".00",".00","2762.67","2762.67",".00",".00",".00",".00",".00","","{E8EF90B8-4133-E445-0203-AAA9DC67BFD2}"
"186798","208508","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","14.38","14.38","225.00",".00","225.00",".00","225.00","","{4822053B-59E1-FAA2-72EE-D13D5F3B2283}"
