"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"177108","193145","1228.74","1000.00",".00",".00","1000.00","2228.74","1248.20",".00",".00","1248.20","980.54",".00",".00","1400.00","1000.00","2400.00","2400.00","171.26","1248.20","1419.46","980.54","","{DD1A5128-A75D-C1B6-C532-1BE10B100B60}"
"177110","193146","1228.74","1000.00",".00",".00","1000.00","2228.74","1248.20",".00",".00","1248.20","980.54",".00",".00","1400.00","1000.00","2400.00","2400.00","171.26","1248.20","1419.46","980.54","","{DD1A5128-A75D-C1B6-C532-1BE10B100B60}"
"177120","193156","39340.09","13843.00",".00",".00","13843.00","53183.09","14710.51",".00",".00","14710.51","38472.58",".00",".00","88409.59","13843.00","102252.59","102252.59","49069.50","14710.51","63780.01","38472.58","","{901ACD10-09A9-35F5-AF6D-4528D3E3E354}"
"177124","193160","1317.12","1185.10",".00","440.00","1625.10","2942.22","209.30","1375.10","1357.82","2942.22",".00",".00",".00","4476.92","1625.10","6102.02","6102.02","3159.80","2942.22","6102.02",".00","","{A7C63531-DA24-C1E3-FD7E-3317C164FEFC}"
"177132","193168","10671.07","370.00",".00",".00","370.00","11041.07","812.68",".00",".00","812.68","10228.39",".00",".00","30803.59","370.00","31173.59","31173.59","20132.52","812.68","20945.20","10228.39","","{F2C501D7-BDE9-91D0-A2D7-14C5E051F378}"
"177134","193170","980.54","250.00",".00",".00","250.00","1230.54",".00",".00",".00",".00","1230.54",".00",".00","2400.00","250.00","2650.00","2650.00","1419.46",".00","1419.46","1230.54","","{FD9EE055-3DC4-6E46-C09A-2496C2E6B0C5}"
"177135","193171","1230.54",".00",".00",".00",".00","1230.54","399.41",".00",".00","399.41","831.13",".00",".00","2650.00",".00","2650.00","2650.00","1419.46","399.41","1818.87","831.13","","{233756C9-B926-4995-71FC-0AA59DDEFB11}"
"177138","193174","1228.74","1100.00",".00",".00","1100.00","2328.74","1248.20",".00",".00","1248.20","1080.54",".00",".00","1400.00","1100.00","2500.00","2500.00","171.26","1248.20","1419.46","1080.54","","{DD1A5128-A75D-C1B6-C532-1BE10B100B60}"
"177143","193179","1228.74","1100.00",".00",".00","1100.00","2328.74","1248.20",".00",".00","1248.20","1080.54",".00",".00","1400.00","1100.00","2500.00","2500.00","171.26","1248.20","1419.46","1080.54","","{DD1A5128-A75D-C1B6-C532-1BE10B100B60}"
"177145","193181","1228.74","1100.00",".00",".00","1100.00","2328.74","1248.20",".00",".00","1248.20","1080.54",".00",".00","1400.00","1100.00","2500.00","2500.00","171.26","1248.20","1419.46","1080.54","","{DD1A5128-A75D-C1B6-C532-1BE10B100B60}"
