"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"213896","231932",".00","500.00",".00","25.00","525.00","525.00","7.71",".00",".00","7.71","517.29","25.00",".00",".00","525.00","525.00","525.00",".00","7.71","7.71","517.29","","{95E81C44-A4B7-7108-BA77-13C2764F37EB}"
"213940","231975","5620.95","108580.89",".00",".00","108580.89","114201.84","8687.83",".00",".00","8687.83","105514.01",".00","2282.62","10128.70","108580.89","118709.59","120992.21","6790.37","8687.83","15478.20","105514.01","","{06EE7A1B-8922-0F98-59BD-A5D52EA34FA1}"
"213941","231976",".00","12000.00",".00",".00","12000.00","12000.00","11987.27",".00",".00","11987.27","12.73",".00",".00",".00","12000.00","12000.00","12000.00",".00","11987.27","11987.27","12.73","","{A6D3ECFE-76DF-2DA2-50D8-68D61E2E025A}"
"213943","231980","340.17",".00",".00",".00",".00","340.17","340.17",".00",".00","340.17",".00",".00","478.17",".00",".00",".00","478.17","138.00","340.17","478.17",".00","","{68744633-79C6-8525-AFD1-DFA9DD26A5AD}"
"213944","231981","340.17",".00",".00",".00",".00","340.17","340.17",".00",".00","340.17",".00",".00","478.17",".00",".00",".00","478.17","138.00","340.17","478.17",".00","","{68744633-79C6-8525-AFD1-DFA9DD26A5AD}"
"213945","231982","53.44",".00",".00",".00",".00","53.44","53.44",".00",".00","53.44",".00",".00",".00","2137.94",".00","2137.94","2137.94","2084.50","53.44","2137.94",".00","","{61BB8820-0C65-A074-5DB5-24CB8891B0F5}"
"213946","231983","53.44",".00",".00",".00",".00","53.44","53.44",".00",".00","53.44",".00",".00",".00","2137.94",".00","2137.94","2137.94","2084.50","53.44","2137.94",".00","","{61BB8820-0C65-A074-5DB5-24CB8891B0F5}"
"213950","231987","335.95",".00","138.25",".00","138.25","474.20",".00",".00","474.20","474.20",".00",".00","335.95",".00","138.25","138.25","474.20",".00","474.20","474.20",".00","","{005CF67B-C391-DBEE-1226-60D22F693830}"
"213954","231991",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","5873.42",".00","5873.42","5873.42","5873.42",".00","5873.42",".00","","{64043E0C-C963-1029-E0E3-633AC47C87EC}"
"213958","231995","44.62",".00",".00",".00",".00","44.62","36.00",".00",".00","36.00","8.62","40.00","92.62",".00",".00",".00","92.62","48.00","36.00","84.00","8.62","","{D9C8D8E2-8CFF-6BC9-3228-0D62966AF0D6}"
