"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"350146","396154","49.23",".00",".00",".00",".00","49.23","49.23",".00",".00","49.23",".00",".00","49.23",".00",".00",".00","49.23",".00","49.23","49.23",".00","","{68D2811D-6BD8-D311-81DB-46418BA7B57B}"
"350148","396156","410.99",".00",".00",".00",".00","410.99","410.99",".00",".00","410.99",".00",".00","410.99",".00",".00",".00","410.99",".00","410.99","410.99",".00","","{ECF89F43-43B9-CB9E-9BA9-8AE46C3C8434}"
"350154","396162","19756.24","650.00",".00",".00","650.00","20406.24","8250.00",".00",".00","8250.00","12156.24",".00","13889.52","7116.72","650.00","7766.72","21656.24","1250.00","8250.00","9500.00","12156.24","","{4C552E82-5BE9-A655-83CA-C5E7F5BAB26F}"
"350157","396165","19756.24","350.00",".00",".00","350.00","20106.24","8250.00",".00",".00","8250.00","11856.24",".00","13889.52","7116.72","350.00","7466.72","21356.24","1250.00","8250.00","9500.00","11856.24","","{4C552E82-5BE9-A655-83CA-C5E7F5BAB26F}"
"350158","396166","11856.24","4267.37",".00",".00","4267.37","16123.61",".00",".00",".00",".00","16123.61",".00","13889.52","7466.72","4267.37","11734.09","25623.61","9500.00",".00","9500.00","16123.61","","{914C568E-9314-8F05-706C-209E71F576D5}"
"350162","396171","10689.01",".00","28.80",".00","28.80","10717.81","4781.97",".00",".00","4781.97","5935.84",".00","73564.68","144290.34","28.80","144319.14","217883.82","207166.01","4781.97","211947.98","5935.84","","{296B1DB0-66B9-3F98-7FF5-C2A9A82F7871}"
"350166","396176","77304.96","5260.00",".00",".00","5260.00","82564.96","5359.03",".00",".00","5359.03","77205.93",".00","90741.16","208410.75","5260.00","213670.75","304411.91","221846.95","5359.03","227205.98","77205.93","","{941EB446-10FE-2E9E-A9FC-768128493FFB}"
"350170","396180","816.93",".00",".00",".00",".00","816.93",".00",".00",".00",".00","816.93",".00","816.93",".00",".00",".00","816.93",".00",".00",".00","816.93","","{04725421-3D11-44C8-55AB-A948D67BC41A}"
"350171","396182","816.93",".00",".00",".00",".00","816.93",".00",".00",".00",".00","816.93",".00","816.93",".00",".00",".00","816.93",".00",".00",".00","816.93","","{80E23873-C047-F0B5-F45B-0F4A989F1FC9}"
"350176","396187","367.78",".00",".00",".00",".00","367.78",".00",".00",".00",".00","367.78",".00","517.78",".00",".00",".00","517.78","150.00",".00","150.00","367.78","","{68D9EC0C-7441-4AEA-8114-F7324FE7A89E}"
"350178","396190",".00","255.00",".00","750.00","1005.00","1005.00","255.00",".00",".00","255.00","750.00","750.00",".00",".00","1005.00","1005.00","1005.00",".00","255.00","255.00","750.00","","{0658D183-7F53-C58E-CC0E-5380B1FE22AF}"
"350180","396194","750.00","661.00",".00","132.84","793.84","1543.84","283.87",".00",".00","283.87","1259.97","882.84",".00","1005.00","793.84","1798.84","1798.84","255.00","283.87","538.87","1259.97","","{F6E84681-73B1-4C4A-0C5D-89FDE6992645}"
"350181","396195","1259.97","560.00",".00",".00","560.00","1819.97","167.00",".00",".00","167.00","1652.97","882.84",".00","1798.84","560.00","2358.84","2358.84","538.87","167.00","705.87","1652.97","","{1319D9C5-D4E3-E776-4C1A-9A02F8A6592A}"
"350182","396197","1259.97","560.00",".00",".00","560.00","1819.97","167.00",".00",".00","167.00","1652.97","882.84",".00","1798.84","560.00","2358.84","2358.84","538.87","167.00","705.87","1652.97","","{1319D9C5-D4E3-E776-4C1A-9A02F8A6592A}"
"350185","396200",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A09C463F-DA9B-ACB5-20A3-2BBFA1E4A401}"
"350187","396202",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{05BE73AD-CE63-2982-8D10-5EC106FFBA41}"
"350188","396203",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{05BE73AD-CE63-2982-8D10-5EC106FFBA41}"
"350190","396211","2409.14",".00",".00",".00",".00","2409.14",".00",".00",".00",".00","2409.14",".00","2409.14",".00",".00",".00","2409.14",".00",".00",".00","2409.14","","{0128584E-8642-6E54-3AF1-2E903F5BE0E9}"
"350200","396221","1116.11","5284.09",".00","400.00","5684.09","6800.20","3268.23",".00",".00","3268.23","3531.97","400.00",".00","1845.20","5684.09","7529.29","7529.29","729.09","3268.23","3997.32","3531.97","","{2C47E5E8-AAA2-DD21-D48B-1FF2A50B24D9}"
"350201","396222","3531.97","7593.17",".00",".00","7593.17","11125.14","8457.97",".00",".00","8457.97","2667.17","400.00",".00","7529.29","7593.17","15122.46","15122.46","3997.32","8457.97","12455.29","2667.17","","{8D3D0197-3A85-F786-8D77-C0B1EC427C9B}"
"350202","396223","2667.17","3448.98",".00",".00","3448.98","6116.15","2193.28",".00",".00","2193.28","3922.87","400.00",".00","15122.46","3448.98","18571.44","18571.44","12455.29","2193.28","14648.57","3922.87","","{9404182C-0FF7-E403-3F6F-98E00576576C}"
"350203","396224","3922.87","2550.22",".00",".00","2550.22","6473.09","4516.54",".00",".00","4516.54","1956.55","400.00",".00","18571.44","2550.22","21121.66","21121.66","14648.57","4516.54","19165.11","1956.55","","{FCE34852-DEEA-5E77-1F5F-CE8EC342DD5B}"
"350204","396225","1956.55",".00",".00",".00",".00","1956.55","368.00","400.00",".00","768.00","1188.55",".00",".00","21121.66",".00","21121.66","21121.66","19165.11","768.00","19933.11","1188.55","","{8D381B5B-9B9E-E08D-4572-FCA90F021F3E}"
"350206","396227","1188.55",".00",".00",".00",".00","1188.55","1180.25",".00",".00","1180.25","8.30",".00","1188.55",".00",".00",".00","1188.55",".00","1180.25","1180.25","8.30","","{66F5814A-E13C-4B29-4E1B-DBFF5BFAE2B4}"
"350210","396231","48447.11","35213.49",".00",".00","35213.49","83660.60","20330.41",".00",".00","20330.41","63330.19",".00",".00","137844.99","35213.49","173058.48","173058.48","89397.88","20330.41","109728.29","63330.19","","{0F1A427C-0F49-9F48-A040-863614BBEAA8}"
"350211","396232","63386.19","26540.13",".00",".00","26540.13","89926.32","47162.50",".00",".00","47162.50","42763.82",".00",".00","173058.48","26540.13","199598.61","199598.61","109672.29","47162.50","156834.79","42763.82","","{3BAAF1BE-E4A7-C259-4568-48A9AA1F9462}"
"350213","396234","47281.02","7521.14",".00",".00","7521.14","54802.16","30237.69",".00",".00","30237.69","24564.47",".00",".00","199598.61","7521.14","207119.75","207119.75","152317.59","30237.69","182555.28","24564.47","","{3AEB471A-EDF7-E33C-C830-00A606F61B45}"
"350217","396238","24564.47","45.00",".00",".00","45.00","24609.47","6297.13",".00",".00","6297.13","18312.34",".00",".00","207119.75","45.00","207164.75","207164.75","182555.28","6297.13","188852.41","18312.34","","{52F22659-FE08-D2E2-670A-986D0D32FCCF}"
"350240","396274","3655.97","440.73",".00",".00","440.73","4096.70",".00",".00",".00",".00","4096.70",".00","3655.97",".00","440.73","440.73","4096.70",".00",".00",".00","4096.70","","{4F72310A-6427-0BE0-F0A5-CA711B451C84}"
"350243","396277","3655.97","234.15",".00",".00","234.15","3890.12",".00",".00",".00",".00","3890.12",".00","3655.97",".00","234.15","234.15","3890.12",".00",".00",".00","3890.12","","{1ADA1E81-78D9-629E-07B5-74534AEE66F6}"
"350245","396279","3655.97","603.14",".00",".00","603.14","4259.11",".00",".00",".00",".00","4259.11",".00","3655.97",".00","603.14","603.14","4259.11",".00",".00",".00","4259.11","","{D5875376-02BD-5E4E-C764-586693DCBB73}"
"350250","396284","3649.30","837.32",".00",".00","837.32","4486.62","500.00",".00",".00","500.00","3986.62",".00","3649.30",".00","837.32","837.32","4486.62",".00","500.00","500.00","3986.62","","{19BFC716-89CD-7B26-3BCF-B8B6B5B90F6C}"
"350251","396285","3649.30","866.32",".00",".00","866.32","4515.62",".00",".00",".00",".00","4515.62",".00","3649.30",".00","866.32","866.32","4515.62",".00",".00",".00","4515.62","","{FABE0212-7D3B-0B79-F436-CB6A68044CC5}"
"350253","396287","2997.32",".00",".00",".00",".00","2997.32","19.29","2000.00","978.03","2997.32",".00",".00","2997.32",".00",".00",".00","2997.32",".00","2997.32","2997.32",".00","","{82F9A3F2-ADAD-2AA2-BCA1-62BB896D9DA7}"
"350273","396314",".00","3000.00",".00",".00","3000.00","3000.00",".00","2612.44",".00","2612.44","387.56",".00",".00",".00","3000.00","3000.00","3000.00",".00","2612.44","2612.44","387.56","","{20D511D7-094E-B181-02F7-2040D6A6BA1D}"
"350275","396316","288.50","1211.36",".00",".00","1211.36","1499.86","1148.71",".00",".00","1148.71","351.15",".00",".00","7431.17","1211.36","8642.53","8642.53","7142.67","1148.71","8291.38","351.15","","{52D7676A-4FB6-9372-14D1-21B736F55C32}"
"350291","396334","33921.15","46966.02",".00",".00","46966.02","80887.17","54584.21",".00",".00","54584.21","26302.96",".00","17010.55","28995.56","46966.02","75961.58","92972.13","12084.96","54584.21","66669.17","26302.96","","{23433A43-0678-715D-1FF5-911E436CBDCD}"
"350294","396337","26302.96","260786.62",".00",".00","260786.62","287089.58","151570.03",".00",".00","151570.03","135519.55",".00","17010.55","75961.58","260786.62","336748.20","353758.75","66669.17","151570.03","218239.20","135519.55","","{DC983D46-3CB4-B83B-79CF-44EA54F33AFE}"
"350296","396340","1652.97","2395.00","40.00","673.50","3108.50","4761.47","2522.19",".00",".00","2522.19","2239.28","1556.34",".00","2358.84","3108.50","5467.34","5467.34","705.87","2522.19","3228.06","2239.28","","{E04B920B-F945-380C-839A-2B9BFF5A0B58}"
"350297","396341","2239.28","410.00","300.00",".00","710.00","2949.28","63.41",".00",".00","63.41","2885.87","1556.34",".00","5467.34","710.00","6177.34","6177.34","3228.06","63.41","3291.47","2885.87","","{7764378C-9AD4-E512-AF44-4D2545129F1B}"
"350298","396342","2885.87","25.00",".00",".00","25.00","2910.87","864.98","673.50",".00","1538.48","1372.39","882.84",".00","6177.34","25.00","6202.34","6202.34","3291.47","1538.48","4829.95","1372.39","","{16C9BFAC-C53B-6044-519B-7685B932EB50}"
"350299","396343","1372.39","35.00","10.00",".00","45.00","1417.39","311.00","458.25",".00","769.25","648.14","424.59",".00","6202.34","45.00","6247.34","6247.34","4829.95","769.25","5599.20","648.14","","{E97BFEEE-9B38-6521-A27E-7D67D4E7E761}"
"350300","396344","648.14",".00",".00",".00",".00","648.14",".00",".00",".00",".00","648.14","424.59",".00","6247.34",".00","6247.34","6247.34","5599.20",".00","5599.20","648.14","","{3616BDF6-F1C0-B1F9-3F24-7C9A052D76F1}"
"350302","396346","8.30",".47",".00",".00",".47","8.77","8.77",".00",".00","8.77",".00",".00","1188.55",".00",".47",".47","1189.02","1180.25","8.77","1189.02",".00","","{7974C9AC-3F9C-E6C4-2B67-86C105FFE854}"
"350310","396354","733.48",".00",".00",".00",".00","733.48",".00",".00",".00",".00","733.48",".00","733.48",".00",".00",".00","733.48",".00",".00",".00","733.48","","{26F60805-FF71-8FBE-7A08-ABFC2E99AB08}"
